T-couple (C),Difference
27.8,86
27.8,86
27.8,87
27.8,85
28.8,85
27.8,83
28.8,80
28.8,79
29.7,77
29.7,77
30.6,75
31.6,72
31.6,71
32.5,68
31.6,66
31.6,64
32.5,63
32.5,60
33.5,58
34.4,56
34.4,54
35.3,51
35.3,49
35.3,45
36.3,42
36.3,39
36.3,36
37.2,33
37.2,30
38.1,27
38.1,24
38.1,21
39.1,20
40.0,18
40.0,17
40.0,16
40.0,15
41.0,11
41.0,10
41.9,9
41.9,8
42.8,7
42.8,7
43.8,7
43.8,6
43.8,5
43.8,3
44.7,2
44.7,1
44.7,1
45.6,1
45.6,0
46.6,0
46.6,0
46.6,0
46.6,0
46.6,0
46.6,0
47.5,0
48.5,0
48.5,0
48.5,0
49.4,0
49.4,0
49.4,0
49.4,0
50.3,0
50.3,0
51.3,0
51.3,0
51.3,0
