T-couple model,Difference
23.1,80
23.1,80
22.2,79
22.2,79
23.1,79
23.1,79
23.1,79
24.1,78
25.0,78
25.0,78
25.0,78
26.0,78
26.0,78
26.9,78
27.8,78
27.8,78
28.8,78
28.8,76
28.8,76
29.7,77
30.6,77
30.6,77
31.6,76
32.5,76
32.5,76
33.5,76
34.4,76
34.4,76
35.3,75
36.3,74
36.3,74
37.2,75
38.1,74
38.1,74
39.1,74
40.0,73
40.0,73
41.0,73
41.9,73
41.9,73
42.8,74
43.8,73
43.8,73
45.6,73
46.6,73
46.6,73
47.5,73
48.5,73
48.5,73
49.4,73
51.3,73
51.3,73
52.2,73
53.1,73
53.1,73
54.1,73
56.0,72
56.0,72
56.9,72
57.8,72
57.8,72
58.8,72
59.7,72
59.7,72
60.6,71
62.5,71
62.5,71
63.5,71
64.4,71
64.4,71
66.3,71
67.2,71
67.2,71
68.1,70
69.1,70
69.1,70
70.0,70
71.9,69
71.9,69
72.8,69
73.8,69
73.8,69
74.7,69
76.6,68
76.6,68
77.5,67
78.4,67
78.4,67
79.4,66
81.3,65
82.2,65
82.2,65
83.1,64
83.1,64
84.1,63
85.9,62
85.9,62
86.9,61
87.8,60
87.8,60
88.8,59
89.7,58
89.7,58
91.6,57
92.5,57
93.4,57
93.4,55
94.4,55
94.4,55
95.3,54
96.3,53
96.3,53
97.2,52
98.1,52
98.1,52
99.1,50
100.0,49
100.0,49
100.9,48
101.9,47
101.9,47
102.8,46
103.8,45
103.8,45
104.7,44
104.7,43
104.7,43
107.5,42
106.6,41
106.6,41
107.5,40
108.4,39
108.4,39
109.4,38
109.4,37
109.4,37
110.3,36
111.2,34
111.2,34
112.2,34
112.2,33
112.2,33
113.1,32
113.1,31
113.1,31
114.1,30
114.1,30
115.0,30
115.9,29
115.9,29
115.9,28
116.9,27
116.9,26
116.9,26
117.8,25
118.7,25
118.7,25
118.7,24
119.7,23
119.7,23
119.7,23
120.6,22
120.6,22
121.6,21
121.6,21
121.6,21
122.5,21
122.5,21
122.5,21
123.4,21
123.4,20
123.4,20
124.4,20
124.4,19
124.4,19
125.3,18
125.3,19
125.3,19
125.3,18
126.2,18
126.2,18
126.2,17
127.2,18
127.2,18
127.2,18
128.1,18
128.1,18
128.1,18
129.1,18
129.1,18
129.1,18
129.1,17
129.1,17
130.0,18
130.0,18
130.0,18
130.9,17
130.9,17
130.9,17
130.9,17
131.9,17
131.9,17
131.9,16
132.8,16
132.8,16
132.8,16
132.8,16
133.7,16
133.7,16
133.7,15
133.7,14
133.7,14
134.7,15
134.7,15
134.7,15
135.6,15
135.6,15
135.6,15
135.6,15
135.6,15
135.6,15
136.6,15
136.6,14
136.6,14
136.6,13
137.5,13
137.5,13
137.5,14
137.5,13
137.5,13
138.4,13
138.4,13
138.4,13
138.4,13
138.4,12
140.3,12
141.2,12
143.1,10
144.1,9
145.9,10
146.9,10
151.6,9
156.2,9
162.8,8
167.5,7
